,file,age,gender,race,service_test
0,train/52375.jpg,20-29,Female,White,True
1,train/11147.jpg,10-19,Male,Latino_Hispanic,False
2,train/38384.jpg,30-39,Male,Black,False
3,train/6451.jpg,20-29,Male,White,True
4,train/27372.jpg,10-19,Male,Black,True
5,train/1144.jpg,0-2,Female,White,True
6,train/50856.jpg,40-49,Female,White,True
7,train/75214.jpg,50-59,Male,Latino_Hispanic,False
8,train/81039.jpg,20-29,Male,White,True
9,train/39705.jpg,0-2,Female,White,True
10,train/42297.jpg,40-49,Female,White,False
11,train/56672.jpg,20-29,Female,East Asian,False
12,train/38043.jpg,20-29,Male,Black,False
13,val/8316.jpg,0-2,Male,Latino_Hispanic,True
14,val/9998.jpg,20-29,Male,Latino_Hispanic,True
15,train/6567.jpg,30-39,Female,Latino_Hispanic,False
16,val/7726.jpg,3-9,Male,White,True
17,train/5382.jpg,20-29,Male,Latino_Hispanic,True
18,train/4944.jpg,3-9,Female,Latino_Hispanic,True
19,train/80247.jpg,40-49,Male,Latino_Hispanic,False
20,train/7561.jpg,40-49,Female,Latino_Hispanic,True
21,train/77595.jpg,0-2,Male,White,False
22,train/34588.jpg,50-59,Female,Latino_Hispanic,True
23,val/8769.jpg,40-49,Female,Latino_Hispanic,False
24,train/39826.jpg,0-2,Male,White,False
25,val/4792.jpg,50-59,Female,White,False
26,train/84172.jpg,3-9,Female,Latino_Hispanic,False
27,train/28204.jpg,40-49,Male,White,False
28,train/55441.jpg,20-29,Male,White,True
29,train/41438.jpg,3-9,Female,White,False
30,train/62686.jpg,10-19,Female,Black,True
31,train/68188.jpg,50-59,Male,Black,True
32,val/2799.jpg,20-29,Male,White,False
33,train/29121.jpg,20-29,Female,White,False
34,train/28976.jpg,30-39,Male,White,False
35,train/53287.jpg,3-9,Male,Black,True
36,train/73866.jpg,40-49,Female,White,True
37,train/84173.jpg,30-39,Female,White,True
38,train/34788.jpg,20-29,Female,White,False
39,train/14234.jpg,30-39,Female,White,True
40,train/2787.jpg,10-19,Male,White,False
41,train/6714.jpg,20-29,Male,East Asian,False
42,train/25277.jpg,10-19,Male,White,False
43,train/47152.jpg,10-19,Male,White,True
44,train/16954.jpg,20-29,Female,Black,True
45,train/84511.jpg,40-49,Male,White,False
46,train/8252.jpg,20-29,Female,White,False
47,train/8401.jpg,40-49,Female,White,True
48,train/48340.jpg,50-59,Male,Latino_Hispanic,True
49,train/74233.jpg,40-49,Male,Black,True
50,train/32030.jpg,10-19,Male,White,True
51,train/45672.jpg,10-19,Female,White,False
52,train/31552.jpg,40-49,Female,White,False
53,train/44741.jpg,20-29,Female,White,True
54,train/69786.jpg,20-29,Male,White,True
55,val/6042.jpg,30-39,Male,Latino_Hispanic,False
56,train/866.jpg,20-29,Female,White,True
57,train/34454.jpg,20-29,Female,White,True
58,train/62055.jpg,40-49,Female,White,False
59,train/4827.jpg,10-19,Male,Latino_Hispanic,False
60,train/5726.jpg,20-29,Female,Black,True
61,train/16057.jpg,20-29,Female,White,False
62,train/5941.jpg,20-29,Male,White,True
63,train/6027.jpg,20-29,Female,White,False
64,train/1729.jpg,20-29,Male,White,True
65,train/8490.jpg,20-29,Female,East Asian,False
66,train/71523.jpg,20-29,Female,White,False
67,train/86653.jpg,3-9,Male,White,True
68,train/29289.jpg,20-29,Male,White,True
69,train/58280.jpg,40-49,Female,Latino_Hispanic,False
70,train/85248.jpg,30-39,Female,White,True
71,train/78943.jpg,10-19,Female,White,False
72,train/76809.jpg,30-39,Female,White,False
73,train/59162.jpg,20-29,Male,White,False
74,train/4062.jpg,60-69,Male,Latino_Hispanic,True
75,train/46714.jpg,3-9,Female,White,True
76,train/27516.jpg,10-19,Male,Latino_Hispanic,True
77,train/52250.jpg,30-39,Female,White,True
78,val/6190.jpg,30-39,Male,Indian,True
79,train/6606.jpg,20-29,Male,White,False
80,train/81754.jpg,30-39,Female,White,True
81,train/6771.jpg,30-39,Female,Black,False
82,train/40805.jpg,30-39,Female,White,False
83,train/36725.jpg,30-39,Male,White,False
84,val/6791.jpg,30-39,Male,White,False
85,train/50819.jpg,30-39,Female,White,False
86,train/15429.jpg,20-29,Male,White,False
87,train/44546.jpg,10-19,Female,Black,False
88,train/51750.jpg,20-29,Female,White,False
89,train/55300.jpg,10-19,Male,White,True
90,val/7903.jpg,40-49,Male,Middle Eastern,False
91,train/54582.jpg,20-29,Female,White,False
92,train/10198.jpg,20-29,Female,White,False
93,train/64858.jpg,20-29,Male,White,False
94,train/69921.jpg,10-19,Female,Southeast Asian,False
95,train/84561.jpg,20-29,Female,Latino_Hispanic,True
96,train/30805.jpg,50-59,Female,White,True
97,train/2822.jpg,40-49,Female,White,True
98,train/34589.jpg,40-49,Male,East Asian,False
99,train/69283.jpg,20-29,Female,White,False
100,train/61117.jpg,20-29,Male,White,True
101,val/4957.jpg,30-39,Male,White,False
102,train/21170.jpg,0-2,Female,Black,True
103,train/50268.jpg,more than 70,Male,White,False
